sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
925,205,Welwyn- Spectrum Girls,"Welwyn Garden City,
Hertfordshire,
AL8 7SG",51.8120542,-0.207709399999999,,,07714 483 485,,,,,,,,,AL8 7SG,,,,Social group for girls with high functioning Autism and Asperger Syndrome. Offers social events and life skills sessions. Meets monthly with individual 1:1 socials being organised by parents.,,,,,,
926,206,"Westminster-�
Autism Carers Support Group�
(Carers Network)","Westbourne Grove Church,
Westbourne Grove,
London, W11 2RW",51.51481,-0.198488399999974,,carers-network.co.uk,0208 960 3033,,,,,,,,,W11 2RW,,,,"Opportunity to meet and talk with others in the same position.
Supporting carers for people with autism spectrum disorder.",,,,,,
927,207,"Westminster- 
Asperger's Syndrome Foundation Saturday Social Club","24 SOUTH AUDLEY STREET,
LONDON,
W1K 2PA",51.5090831,-0.151188000000047,,www.aspergerfoundation.org.uk,,,,,,,,,,W1K 2PA,,,,Monthly social club for people aged 18-30. Sessions involve creative activities and discussions.,,,,,,
928,208,Westminster -Caxton Youth Organisation,,51.4909002,-0.147132800000009,,www.caxtonyouth.org,020 7834 1883,,,,,,,,,,,,,"The Caxton Youth Club aims to offer young people a safe space in the inner city, where they can come to make and meet their friends.
It prioritises the inclusion of young people with physical and/or learning disabilities.",,,,,,
929,209,"Westminster-�
In-Deep Children�s Music Therapy",,51.4931011,-0.130189500000029,,https://in-deep.org.uk/activitie/childrens-music-therapy,07761263105,,,,,,,,,,,,,"Group music therapy for children aged between 5-13 with special needs and disabilities.
Music therapy sessions take place on every 2nd Saturday morning of the month between 11am-12.30pm.
Sessions are run by a group of trained volunteers and a qualified, experienced therapist.",,,,,,
930,210,Westminster Phab Club,"Victoria Station,
London, United Kingdom",51.4947186,-0.14361980000001,,https://phab.org.uk,07764 200 169,,,,,,,,,,,,,"We create opportunities for children & adults of all abilities to enjoy life together.
Each club organises a diverse programme of activities � arts and crafts, quizzes and games, speakers, sports, discos, days out and group holidays.
Usually meets once a week.",,,,,,
931,211,Westminster School Phab club,null,51.4986872,-0.1279085,,https://phab.org.uk,0207 963 1156,,,,,,,,,SW1P 3PF,,,,"Creates opportunities for children & adults of all abilities to enjoy life together.
Organises a diverse programme of activities.
Usually meets once a week.",,,,,,
932,212,Westminster Society For People With Learning Disabilities,"16 Croxley Rd,
London W9 3HL, UK",51.529762,-0.20034899999996,,www.wspld.org.uk,020 8968 7376,,,,,,,,,W9 3HL,,,,We support people with learning disabilities with a range of quality services.,,,,,,
933,213,"Weybridge childrens centre -�
sensory and tactile play
Rainbow Group","Weybridge Sure Start Children's Centre,
The Churchfield Pavilion,
Weybridge,
Surrey",51.3716949,-0.45892809999998,,,01932 820106,,,,,,,,,KT13 8DB,,,,"A group for special Educational needs with sensory and tactile play.
Runs weekly.
For children with additional needs.
�3 per session.",,,,,,
934,214,"Woolwich -Autistic Inclusive Meets
(AIM) Autistic Community Group 
for Adults, children and carers","Brook Hill Children�s Centre,
Brook Hill Road,
Woolwich, London SE18 6UZ,
Trinity Centre,
165 Burrage Road,
Plumstead, London SE18 7JW",51.4831901,0.0732394999999997,,,,,,,,,,,,SE18 6UZ,,,,"Social opportunities for both adults and children.
Support for parents and carers.
Families and individuals to access the community in accepting inclusive circumstances.
Pre diagnosis welcome, no referral necessary.
Two groups running.
One group is �2 per family.",,,,,,
935,215,Windsor Mencap,"Windsor
SL4 3RU",51.474927,-0.62606900000003,,https://windsormencap.org,01753 428019,,,,,,,,,SL4 3RU,,,,"Provides social opportunities, support services and information to local people with a learning disability their families and carers. A local, independent charity, committed to promoting equality for people with special needs.",,,,,,
936,216,Woking Phab Club,"Old School Place,
Westfield,
Woking GU22 9LY",51.3001023,-0.558912599999985,,https://phab.org.uk,01252 686 303,,,,,,,,,GU22 9LY,,,,"Service for people with disabilities and their families.
Advice and support available.",,,,,,
937,217,accomplish,,51.5073509,-0.127758299999982,,https://accomplish-group.co.uk/supported-living-london,0333 444 0075,,,,,,,,,,,,,"We provide support for people with Learning Disabilities, Autism, Mental Health needs and Acquired Brain Injuries.
Support is built around each person�s specific and complex needs.
Our priority has been the fulfilment of the lives of everyone we support.",,,,,,
938,218,Hoffmann Foundation,"4 Gordon Avenue,
Stanmore,
Middx
HA7 3QD",51.6124622,-0.315023800000063,,https://hoffmannfoundation.org.uk/supported-living,0207 269 6930,,,,,,,,,HA7 3QD,,,,"Supported Living Service offering day to day support and assistance with independent living skills for people with Autism and Asperger�s Syndrome.
Provides support at home and in the community.
Supports service users to develop new skills and prepare for independent living.
Ensures continuity and consistency of support.",,,,,,
939,219,Kent Autistic Trust -�Living Services,,51.3912931,0.5296612,,https://kentautistic.com/what-we-do/living-services,01634 405168,,,,,,,,,,,,,"The Trust offers all year round living support. We can provide this in people�s own or family homes and within single or shared accommodations. We are able to provide rented single person and shared accommodation, within small homes for up to six people.",,,,,,
940,220,Kisharon,,51.5740013,-0.198772500000018,,https://kisharon.org.uk/our-services/support/adult-supported-living,07946 317 448,,,,,,,,,,,,,"Creates bespoke plans for individuals, considering needs and support hours.
Assistance with daily tasks, including cooking, cleaning, and self-care.
Life skills training, including money handling and travel training.",,,,,,
941,221,Priory Adult Care,"River House,
Riverside Way,
Crowley,
Uxbridge,
Middlesex,
UB8 2YF",51.5445216,-0.489712599999962,,https://prioryadultcare.co.uk/find-a-location/supporting-you-in-london-and-thames-valley,01494 474 769,,,,,,,,,UB8 2YF,,,,"Innovative and creative support to individuals with learning disabilities, autism and/or mental health problems to live the lives they want and to achieve their goals.",,,,,,
942,222,The Lion King Musical,,51.5116533,-0.119946400000003,,https://thelionking.co.uk/autismfriendly,07792849171,,,,,,,,,,,,,"Weekly autism-friendly group for children and families.
Provides a welcoming social environment.
Activities designed for autistic children and their families.
Cost �10 per session.",,,,,,
943,223,Mousetrap Theatre Projects,,51.5116017,-0.133243099999959,,https://mousetrap.org.uk/index.php/special-educational-needs/relaxed-performances/current-relaxed-performance,,,,,,,,,,,,,,Relaxed performances offer more opportunities for SEN visits.,,,,,,
944,224,St. Paul's Cathedral,,51.5138453,-0.0983506000000034,,https://stpauls.co.uk/visits/visits/disabled-access-day-2019,,,,,,,,,,,,,,Whole day of events including an early relaxed opening for families with #autism from 8.30am.,,,,,,
945,225,Tower Bridge,,51.5054564,-0.0753564999999981,,https://towerbridge.org.uk/news/2016/09/01/autism-friendly-early-opening,,,,,,,,,,,,,,"Early opening for families with autistic children.
Suitable for children with autism.",,,,,,
946,226,"Sport -Barking Beavers Swimming
Abbey Sports Centre,","Abbey Sports Centre,
Axe Street,
Essex, IG11 7LX",51.5350432,0.078277000000071,,,020 8478 0842,,,,,,,,,IG11 7LX,,,,"Weekly sessions run on Sundays from 4-5pm.
Sessions include swimming.
Parents/carers are welcome to come along.",,,,,,
947,227,Cycling -Battersea Park (London Recumbents),,51.4789905,-0.161823499999969,,https://cyclingforall.org/cycling-sessions/view/london-recumbents-battersea-park,,,,,,,,,,,,,,"Hires available at weekends and during schools holidays.
Inclusive sessions for families, kids and grannies.",,,,,,
948,228,Sport -Becontree Heath Leisure Centre,,51.5611222,0.148694500000033,,,07791 743158,,,,,,,,,RM10 7AY,,,,"Sessions are run on Friday from 19.30-21.30pm.
Parents, carers or siblings are welcome to join in the session if there is room in the pool.",,,,,,
949,229,"Sport - Brent 
Willesden Sports Centre","Willesden Sports Centre,
Donnington Road,
London, NW2 3NF",51.5402145,-0.231053999999972,,https://disabilitysportscoach.co.uk/community-clubs/club-brent,,,,,,,,,,NW2 3NF,,,,"Multi-sports club open to all disabled people aged 11 +.
Three-hour sports sessions covering basketball, cricket and boccia.
Termly cricket matches vs Cricket for Change clubs.
�6 per session.",,,,,,
950,230,"Sport -Camberwell
Trampolining.
 Cambridge House School .",1 Addington Square,51.4805957,-0.0939554999999928,,www.ch1889.org,020 7358 7010,,,,,,,,,SE5 0HF,,,,"Offer opportunities for those with learning disabilities. Sports on offer include New Age Kurling, Boccia, Trampolining and Swimming.",,,,,,
951,231,"Sport -Camberwell
 Swimming.
Cambridge House School.",1 Addington Square,51.4805541,-0.0940640999999687,,www.ch1889.org,020 7358 7010,,,,,,,,,SE5 0HF,,,,"Offer opportunities for those with learning disabilities. Sports on offer include New Age Kurling, Boccia, Trampolining and Swimming.",,,,,,
952,232,"Sport- Camden�
Coram's Fields Football Pitch","93 Guilford Street,
London WC1N 1DN",51.5244744,-0.1200567,,,,,,,,,,,,WC1N 1DN,,,,"Free inclusive football session being run by Arsenal Football club and Coram�s Field. 
This session is aimed at children and young people with a disability and their siblings.
The session is run from 5.00 pm to 6.00 pm.",,,,,,
953,233,"Sport -Camden
 Trampolining and Multi Sports
Talacre Community Sports Centre",,51.5473356,-0.147179300000062,,,020 7974 8754,,,,,,,,,,,,,"Multi Sports includes Table tennis, Badminton, Trampoline(Rebound therapy), Basketball, and Boccia.
The activity takes place every Monday night from 7pm to 9pm.
It is aimed at people aged 16+.",,,,,,
954,234,"Sport -Camden 
YMCA Hub Club","112 Great Russell Street,
London WC1B 3NQ",51.5172875,-0.130403300000012,,,0207 7343 1724,,,,,,,,,WC1B 3NQ,,,,"Weekly sports and fitness activities for people with disabilities and mental health needs.
Activities include Boccia, Gym and Adapted Fitness, Football, New Age Kurling, and more.
Free for all ages.",,,,,,
955,235,Sport -Chafford Sports Complex Swimming,Chafford Sports Complex,51.5157829,0.202811099999963,,www.lbbd.gov.uk,,,,,,,,,,RM13 9XB,,,,"Swimming sessions for 11 to 17 years and 18+ year olds.
Sessions take place on Thursday evenings.
Sessions cost �1.50 per session.
Experienced coaches are available.",,,,,,
956,236,"Croydon University Hospital,
Hydrotherapy Pool
Swimming Lessons.","Croydon University Hospital,
Hydrotherapy Pool,
Woodcroft Road,
Croydon,
Surrey,
CR77HF",51.3914324,-0.1101222,,https://greatwaves.co.uk/disability-swimming,,,,,,,,,,CR7 7HF,,,,"Swimming lessons for individuals with a disability and special educational needs.
Lessons range from 20-30 minutes, including group lessons, 1-2-1 lessons.
Lessons include a hoist available for entry exit from the water.",,,,,,
957,237,"Sport -Croydon�
Swimming.
Purley Enterprise Swimming Club","High St,
Purley CR8 2AA",51.3381919,-0.115359699999999,,https://enterprise-club.org.uk/index.html,020 8644 4851,,,,,,,,,CR8 2AA,,,,Weekly swimming sessions for disabled people to improve their conditions of life. Secondary social activities provided.,,,,,,
958,238,Cycling -Dagenham,"Jim Peters Stadium,
Mayesbrook Park,
Lodge Ave, RM8 2JR",51.5453676,0.112972500000069,,https://cyclingforall.org,,,,,,,,,,RM8 2JR,,,,"Weekly group designed for children with additional needs, offering advice about how to engage your child and encourage communication.",,,,,,
959,239,Sport -Dormers Wells Leisure Centre,Dormers Well Lane,51.514307,-0.364233300000024,,www.better.org.uk,020 85717207,,,,,,,,,UB1 3HX,,,,"Weekly disabled swimming sessions are available with pool hoists.
Disabled toilets and changing facilities are provided.",,,,,,
960,240,Sport -Dulwich Leisure Centre,,51.4606325,-0.0720730000000458,,,02075257304,,,,,,,,,,,,,"Free swimming sessions for young disabled swimmers aged 5-13 who live or go to school in Southwark. Sessions are on Sunday afternoons (2-3pm) and emphasis on taking part, not on winning.",,,,,,
961,241,Cycling -Dulwich Park,,51.4466189,-0.082764099999963,,https://cyclingforall.org/cycling-sessions,,,,,,,,,,,,,,"Weekly group sessions are specially designed play for children with additional needs. 
Advice is provided about how to engage your child and encourage communication. 
The service is for people in NE London, West Essex and Herts borders.",,,,,,
962,242,Sport -Eltham Stingrays Swimming Club,"Thamesmere Drive,
London,
SE28 8RE",51.5078008,0.109187499999962,,www.elthamstingrays.co.uk,07939 301477,,,,,,,,,SE28 8RE,,,,"Swimming sessions for adults and juniors, including those with special needs.
Those taking part would need to be able to get into the pool unaided.",,,,,,
963,243,"Sport -Enfield/Southgate Swimming
Halliwick Penguins club",,51.6280495,-0.126776199999995,,www.halliwickpenguins.org,020 8482 9472,,,,,,,,,,,,,"Halliwick Penguins Swimming Club provides a safe, friendly environment for swimmers with disabilities to learn and practice swimming.",,,,,,
964,244,Cycling -Enfield Bush Hill Park,"Bush Hill Park,
Enfield, EN1 3XQ",51.6519333,-0.0770906999999852,,https://cyclingforall.org/cycling-sessions,020 8379 2445,,,,,,,,,EN1 3XQ,,,,"Regular �try cycling� sessions are available all year round.
Cycles adapted to suit varying physical abilities.
The scheme is free and everyone is invited.",,,,,,
965,245,Sport -Enfield NAS Youth Club,"LLDD Centre of Excellence,
Southgate & Barnet College (Southgate Campus),
Southgate High St, Southgate, N14 6BS",51.6303539,-0.129558299999985,,https://enfieldnas.org.uk,07903 420016,,,,,,,,,N14 6BS,,,,"Weekly youth club for young people.
Activities include football, basketball, tennis, badminton, volleyball, cricket, boccia, circuit training, hockey, and multi-sports.
The service is available to young people from school Year 7 to Year 13.
The cost is �7 per participant per evening.",,,,,,
966,246,"Sport -Epping 
Swimming
All Ability Sports",,51.6930833,0.1144659,,https://allabilitysportsandleisure.co.uk,07986 603 313,,,,,,,,,,,,,"Provides sports and leisure activities for people with a disability aged 8 years and above.
Activities include Boccia, swimming sessions and wheelchair basketball.",,,,,,
967,247,"Sport- Epping 
Disability Inclusion Project","25 Hemnall Street,
Epping, Essex
CM16 4LU",51.6963581,0.10876959999996,,https://eppingforestdc.gov.uk/out-and-about/our-activities/community-health-and-wellbeing/inclusion-project,01992 564561,,,,,,,,,CM16 4LU,,,,"Provides sports, leisure and physical activity opportunities for children and young people with SEND.
Various sessions and activities held during the schools holidays.",,,,,,
968,248,"Sport -Epping
All Ability Sports",,51.6924891,0.1131884,,https://allabilitysportsandleisure.co.uk,07986 603 313,,,,,,,,,,,,,"Provides sports and leisure activities for people with a disability aged 8 years and above. Activities include Boccia, swimming sessions and wheelchair basketball.",,,,,,
969,249,Cycling - Epsom,,51.3573299,-0.266864499999997,,https://cyclinguk.org/cycle-centre/surrey-wheels,07792 616750,,,,,,,,,,,,,Inclusive cycling sessions welcome both children and adults with a range of disabilities and difficulties. Sessions run by Surrey Wheels for All.,,,,,,
970,250,"Sport -Epsom
Swimming Lessons
Warren Mead Junior School","Roundwood Way,
Banstead,
Surrey,
SM7 1EJ",51.3245991,-0.227365999999961,,https://greatwaves.co.uk/disability-swimming,,,,,,,,,,SM7 1EJ,,,,"Planned swimming lessons in conjunction with parents.
Range of lessons from 20 to 30 minutes, depending on individual needs.
Lessons for people with a disability and special educational needs.
Includes group lessons, 2-2-1 and 1-2-1 lessons.",,,,,,
971,251,"Sport -Swimming.
Essex,
Leigh on Sea",,51.5490453,0.642260800000031,,https://sealsswimclub.co.uk/sealsswimclub/Home.html,,,,,,,,,,,,,,"Weekly swim every Sunday between 4-5pm.
Swimming club for children and adults with disabilities and their families.",,,,,,
972,252,Cycling -Finsbury Park,,51.5652854,-0.104930999999965,,https://pedalpowercc.org,,,,,,,,,,,,,,"Cycling sessions for teenagers and adults with learning disabilities.
Sessions feature cycling for complete beginners on 2 wheels or trikes.
Games to improve cycling skills.
An opportunity to try for the Special Olympics.
Sessions run on Tuesdays 11am-2pm and alternate Saturdays between 12 � 4pm.",,,,,,
973,253,"Sport -Fulham FC Active for Autism.
Saint Joseph's Catholic Nursery School","St Joseph�s School,
Kingston",51.4086864,-0.295060899999953,,https://wandsworth.childrensservicedirectory.org.uk/kb5/wandsworth/fsd/service.page,07786 277 632,,,,,,,,,,,,,"Football coaching for boys and girls with Autism aged between 5-18.
Training is on Saturday mornings.
Tournaments on the last Sunday of every month.",,,,,,
974,254,Sport -Goresbrook Leisure Centre,,51.5325068,0.130413699999963,,www.barking-dagenham.gov.uk,020 8227 3977,,,,,,,,,RM9 6XW,,,,Centre has experienced instructors. Centre runs disabled swimming sessions. Each session costs �2.00. Parents/carers are welcome to attend sessions.,,,,,,
975,255,Cycling -Greenwich,null,51.4497928,0.0526849999999968,,www.limitededitioncycling.co.uk/unique.html,07984200566,,,,,,,,,SE9 2PT,,,,"Unique is an all ability cycling project, for all riders, families and carers, regardless of their ability or need.
Saturday 1:30-2:30pm",,,,,,
976,256,"Sport- Hackney
Disability Sports Coach Club",,51.5425639,-0.0714223999999604,,,,,,,,,,,,E8 3XW,,,,"Weekly session for people who enjoy basketball and boccia.
Session runs every Wednesday from 11.00am - 12.30pm.
�3 per session.",,,,,,
977,257,"Sport- Hatch End
 Aquarius Swimming Club",,51.6074229,-0.3627274,,,01271890571,,,,,,,,,,,,,"Swimming lessons available for children from 3 years of age through to teens.
Teachers in the water with beginners.
ASA Badge progression from Puffin through to the Gold & Honours Challenge Awards.
Swim fit sessions for advanced swimmers/teenagers.",,,,,,
978,258,"Sport- Hillingdon
Fenix Gymnastics","Meadow High School,
Royal Lane,
Hillingdon UB8 3QU",51.525014,-0.465174700000034,,https://fenixgymnastics.com,,,,,,,,,,UB8 3QU,,,,"Classes for children with disabilities who can work in a group.
Classes for those who can work in small groups but may need more focused coaching.",,,,,,
979,259,"Sport- Swimming Hoddesdon�
The John Warner Sports Centre",,51.77521,-0.000752000000034059,,https://facebook.com/groups/1490846281137864,0772 989 2729,,,,,,,,,,,,,"Weekly disability swimming sessions for people with physical or learning disabilities.
Sessions run on a Sunday afternoon.
Sessions are free.",,,,,,
980,260,"Sport- Holloway
Trampolining and Ice Rink
Sobell Leisure Centre",,51.5591117,-0.111881600000061,,https://hoop.co.uk/i/qaZmlN,020 7609 2166,,,,,,,,,,,,,"Supervised trampolining sessions are available for disabled people.
Sessions are held on Thursdays.",,,,,,
981,261,"Sport-�Kensington & Chelsea
Disability Sports Coach Club","Kensington Leisure Centre,
Silchester Road,
London, W10 6EX",51.5143131,-0.215990099999999,,https://disabilitysportscoach.co.uk/community-clubs,,,,,,,,,,W10 6EX,,,,"Weekly activity for children with additional needs.
Advice about how to engage your child and encourage communication.",,,,,,
982,262,Sport -Laburnum Boat Club/ Swimming,,51.5355704,-0.0721361999999317,,www.laburnum.org.uk,020 7729 2915,,,,,,,,,E2 8BA,,,,"Weekly group offering sailing, swimming, kayaking and narrowboating.
Sessions for children and adults, including disabled specific sessions.
Sessions cost �1 to �3.",,,,,,
983,263,"Sport- Lambeth 
Disability Sports Coach Club","27 Brixton Station Road,
London, SW9 8QQ",51.4638198,-0.113125299999979,,https://disabilitysportscoach.co.uk/community-clubs,,,,,,,,,,SW9 8QQ,,,,"Weekly session for young people, offering a variety of sports.
�3 per session.",,,,,,
984,264,Cycling -Lewisham,"148 Dressington Avenue,
Lewisham SE4 1JF",51.4529073,-0.02389160000007,,https://wheelsforwellbeing.org.uk,020 7346 8482,,,,,,,,,SE4 1JF,,,,"Tuesday session 10:00am � 12:30pm. Our qualified instructors help participants try our cycles or get comfortable on the one that suits them, and offer ongoing support.",,,,,,
985,265,"Sport- Northwood
Aquarius Swimming Club
Merchant Taylors' School",,51.6358527,-0.424239599999964,,,01271890571,,,,,,,,,,,,,"Swimming lessons available for children from 3 years of age through to teens.
Teachers in the water with beginners.
ASA Badge progression from Puffin through to the Gold & Honours Challenge Awards.
Swim fit sessions for advanced swimmers/teenagers.",,,,,,
986,266,Cycling -Regent�s Park,"Queen Mary�s Yard,
Inner Circle,
Regent�s Park",51.52832,-0.150740400000018,,https://westeustonpartnership.co.uk,020 7388 7932,,,,,,,,,NW1 4NR,,,,"Ability Bikes sessions every Saturday from 10.00 am to 1.00 pm.
Bikes must be booked prior.
For Camden residents, there is currently no charge.",,,,,,
987,267,Sport- Ruslip Disability multi sport club,,51.5565088,-0.39029359999995,,https://hillingdon.gov.uk/article/31489/Disability-multi-sport-club,,,,,,,,,,HA4 0JE,,,,"Fun multi sports community club for young people with special needs.
Sports include trampolining, football, volleyball, table tennis and boccia.
For young people aged 8 to 19.
Cost: �3 per session",,,,,,
988,268,"Sport -Sidcup 
Gymnastics Club
 Hurstmere School",,51.4387,0.114399999999932,,www.falconspartak.com,07967 346060,,,,,,,,,DA15 9AW,,,,"Weekly gymnastics sessions for children with disabilities, including amputees, learning disabilities and visual impairment. All new gymnasts are allowed 3 taster sessions before the final decision is taken to join the club.",,,,,,
989,269,Sport -Shene Fitness Centre Richmond,"Park Avenue, East Sheen, London (South West), SW14 8RG",51.462797,-0.260055999999963,,,020 8878 7578,,,,,,,,,SW14 8RG,,,,"Offering various sports for members of the local community. Range of equipment and classes available to those with disabilities, including those in wheelchairs and with limited mobility.",,,,,,
990,270,"Sports - Slough 
Multi Sports Disability Club�
Burnham","Burnham Park E-ACT Academy,
Opendale Road,
Burnham SL1 7LY",51.5280043,-0.662443800000005,,https://burnhamsportsandactivities.org.uk/business-directory/1570/burnham-multi-sports-disability-club-2,01895 837348,,,,,,,,,SL1 7LY,,,,"Weekly multi-sports disability club for 11 to 17 year olds, including wheelchair users.
Adaptations for various ball games.
Held term time only.",,,,,,
991,271,"Sport -Slough Starfish Swimming Club
Magnet Leisure Centre�
Maidenhead",,51.5252302,-0.7184019,,https://starfish-swimming.org.uk,,,,,,,,,,,,,,"Improve swimming capability and realise full potential.
Develop teamwork, self-discipline, self-esteem and sportmanship.
Safe and caring environment.",,,,,,
992,272,Sport -Southwark Disability Football,null,51.4958502,-0.104686000000015,,,020 7525 1596,,,,,,,,,SE1 6ER,,,,"Free Disability Football for people with a disability.
Every Monday 1300hrs to 1400hrs.",,,,,,
993,273,"Sport- Southwark�
Disability Sports Coach Club",,51.4935521,-0.101597699999957,,https://disabilitysportscoach.co.uk/community-clubs,,,,,,,,,,SE1 6SQ,,,,"Fun and relaxed Saturday session for athletics, boccia and volleyball.
�3 per session.
For people in Southwark.",,,,,,
994,274,Sport -Stoke Park Trust For The Disabled,,51.52913,-0.599572299999977,,,,,,,,,,,,,,,,Provides sports facilities and opportunities for all disabled people in and around Slough. Members from Buckinghamshire and Berkshire.,,,,,,
995,275,"Sport- Surrey Trampolining and Rebound Therapy 
at the Saturn V Rebound Hall Caterham, Surrey",,51.2890312,-0.0985339999999724,,www.saturnv.co.uk/special_needs/,01342 323530,,,,,,,,,,,,,"Trampoline birthday parties for children and adults.
Caters for all levels of ability.",,,,,,
996,276,"Sport- Tower Hamlets
Disability Sports Coach Club","Mile End Park Leisure Centre,
190 Burdett Road,
London, E3 4HL",51.5193163,-0.0323333999999704,,https://disabilitysportscoach.co.uk/community-clubs,,,,,,,,,,E3 4HL,,,,"Fun filled sporting club for all abilities and disabilities.
Basketball and obstacle courses.
Links with sporting organisations.",,,,,,
997,277,"Sport- We Swim. 
Vauxhall Leisure Centre",,51.4837458,-0.1235741,,https://weswim.club,,,,,,,,,,,,,,"Weekly pool activity sessions led by friendly volunteers.
Improving swimming, working muscles, or simply escaping to a welcoming environment.
A safe space for members to be sociable, build confidence and become more active.",,,,,,
998,278,"Sport - Wandsworth
Youth Centre. 
Community Club.","The Cauis House Centre,
SW11 3RL",51.4704233,-0.175916799999982,,https://disabilitysportscoach.co.uk/community-clubs/club-wandsworth,02070210973,,,,,,,,,SW11 3RL,,,,"Weekly multi-sport session for people with a disability aged 11+.
Sports offered include boccia, football, polybat, basketball and more.
Fun sports day against other DSC Clubs in their region.",,,,,,
999,279,"Sport- Westminster
Disability Sports Coach Club","Little Venice Leisure Centre,
10 Crompton St,
London, W2 1ND",51.5237634,-0.176757299999963,,https://disabilitysportscoach.co.uk/community-clubs,,,,,,,,,,W2 1ND,,,,Weekly sessions for people aged 11 and over. Sessions run every Thursday from 4-6pm. Sessions run during term time.,,,,,,
1000,280,"Sport -Welwyn Gosling Park
Herts Disability Sports Hub",,51.792263,-0.211396100000002,,https://facebook.com/HertsDisabilitySportsHub,,,,,,,,,,,,,,The hub promotes the development of disability sport across Hertfordshire. The hub sites deliver participation opportunities for people with disabilities.,,,,,,
1001,281,"Cycling -White City,
Little Wormwood Scrubs",,51.5244456,-0.2282237,,https://bikeworks.org.uk/all-ability,,,,,,,,,,,,,,"Weekly cycle sessions every Friday 11am until 1pm and alternate Saturdays 11am until 1pm.
Accessible to all, no coaching or intensive sessions.
A place to try out a different type of cycling.",,,,,,
1002,282,Cycling -Woking,,51.3320457,-0.535906100000034,,https://matthewwing.wix.com/surrey-wheels-for-al,07495 609325,,,,,,,,,,,,,Weekly group designed for children with additional needs. Advice about how to engage your child and encourage communication.,,,,,,
1003,283,"Sport- Woolwich
 Trampolining
Greenwich Bouncers Trampoline academy",,51.4814436,0.0851913000000195,,www.greenwichbouncers.co.uk,+44 7956 168208,,,,,,,,,,,,,"Fun, interactive trampoline sessions for children and adults of all ages, including those with special needs and/or disabilities.",,,,,,
1004,284,"Barnet- Footprints Life Camp�
Easter and Summer Holiday activities","88 Woodside Park Road,
London, N19 3HS",51.5681346,-0.124562100000048,,https://footprintslifecamp.co.uk,,,,,,,,,,N19 3HS,,,,"To allow young people at risk of social exclusion in society to build self-esteem and learn key life and social skills to promote independence, emotional well-being and be confident, independent members of society.",,,,,,
1005,285,"Horse Riding -Brentwood
 Upminster RDA Group",,51.6188374,0.274670399999991,,https://ridinglessonsessex.co.uk,01708 656431,,,,,,,,,CM14 5QH,,,,"Riding lessons for children and adults in a safe and friendly environment.
Horses and ponies selected for their even temperaments and ability to adapt to a wide range of rider ability.
The service is used regularly by a specific group.",,,,,,
1006,286,"Dance -Camden 
icandance
Fitzjohn's Primary School",null,51.5533567,-0.175941200000011,,https://icandance.org.uk,07973397604,,,,,,,,,null,,,,"Dance and Performance for children and young people with disabilities
Saturday Mornings
9:30am to 1:30pm
Different session times according to age
Cost: �10 per session",,,,,,
1007,287,"Dance -Camden
Greenwood Dance Group
Kentish Town Community Centre",,51.548237,-0.132135000000062,,,020 7974 3181,,,,,,,,,,,,,"Dance sessions for people with learning disabilities.
Dance sessions are held on Tuesdays at 12:00pm.
The sessions are free to attend.",,,,,,
1008,288,"Chingford
Model Train Club",null,51.6419876,-0.00910529999998744,,https://theengineshed.org.uk,null,,,,,,,,,E4 7RS,,,,"The Engine Shed meets on the second Sunday of the month.
It is for people in North East London.
The event runs from 11am to 2pm.",,,,,,
1009,289,"Drama Therapy-�Croydon
Roundabout","Cornerstone House,
14 Willis Road,
Croydon CR0 2XX",51.3847488,-0.0993060000000696,,https://roundaboutdramatherapy.org.uk,020 8665 0038,,,,,,,,,CR0 2XX,,,,"We offer our service to anyone who wishes to enhance their mental health and emotional well-being.
We use dramatherapy to provide psychological, educational and artistic benefits to a wide range of service users spanning all ages and a variety of needs.
We work with some of the most disadvantaged people in the community.",,,,,,
1010,290,"Music,Drama, Radio,Film at Club Soda -Croydon","Croydon Clocktower,
Katharine Street,
Croydon CR9 1ET",51.3721631,-0.0990083000000368,,https://clubsoda.org.uk,07951 190 577,,,,,,,,,CR9 1ET,,,,"Organisation that supports people with learning disabilities to get involved in the arts.
Activities for young people and adults.
Opportunities in music, DJing, acting, filmmaking, art, radio photography and more.
Runs some of London�s most popular integrated live events.",,,,,,
1011,291,Creative Workshop�East London,"Booth House
175 Whitechapel Road,
Tower Hamlets, London, E1 1DN",51.5185223,-0.0635571999999911,,https://bubbleclub.org/bub-hub-workshops,0207 112 4917,,,,,,,,,E1 1DN,,,,"Creative workshops for people with learning disabilities to be a part of the Bubble Club events production team.
Each term lasts for 6 weeks and will conclude with a live event.
Members develop skills in art, design, computers, administration & professional communication.
Confidence, creativity and team working is actively encouraged.",,,,,,
